ID Cliente,Denominazione,P. IVA,Codice Fiscale,Indirizzo,Città,Cap,Provincia,Indirizzo Completo,Codice SDI,Referenti,Pec,Referente Rollup (from Referenti),Email,Ordini,Conta Ordini,Valore Ordini,Fatture Attive,Progetti,To-do List,Potenziali,Competitor,Servizi,Pagamenti,Appuntamenti,Incarichi,Telefono,Attività,Socialia temp,To-do List copy,P.IVA/C.F,pivacodicefiscale,Table 29,Link Dropbox,Record ID Airtable
Banchero Costa Insurance,BANCHERO COSTA INSURANCE BROKER S.P.A.,00609560107,,Via Pammatone 2,Genova,16121,GE,"Via Pammatone 2, 16121 Genova (GE)",,Alda Santini,bcinsurancebroker@legalmail.it,Alda Santini,insurance@bcinsurance.it,24-0007,1,"€900,00",,,,,,,,,,,,,,00609560107,00609560107,,,recsDXOiEMJjj0cvB
Cambiaso Risso Group,,,,,Genova,,,",  Genova ()",,,,,,,0,"€0,00",,,,checked,A&B Grafica,,,,,,,,,,,,,rec6X9FFHZFaMVLW8
Camera di Commercio Genova ,Camera di Commercio Genova ,00796640100,,Via Garibaldi 4 ,Genova ,16124,GE,"Via Garibaldi 4 , 16124 Genova  (GE)",,Serena  Pagliosa,cciaa.genova@ge.legalmail.camcom.it,Serena  Pagliosa,camera.genova@ge.camcom.it ,24-0027,1,"€2500,00",,,,,,,,,,,,,,00796640100,00796640100,,,recekJoKVja8JigN5
Casaviva,KATEI ITALIA SRL,01716980931,01716980931,VIA PIERO SCHIAFFINO 14/8,CAMOGLI,16032,GE,"VIA PIERO SCHIAFFINO 14/8, 16032 CAMOGLI (GE)",MJEGRSK,"Andrea Della Porta,Cinzia Di Barbara",,"Andrea Della Porta, Cinzia Di Barbara",amministrazione@casavivaservice.it,24-CVS,1,"€0,00",,,"Tracciare conversioni Linkedin,Scade SSL Gestionale Casaviva,Creare nuove mail del flusso,Scadenza dominio casaviva.house,Scadenza hosting casaviva.house",,,,,"Call di aggiornamento landing,Call con Anna ",,,"Social,Newsletter,Campagne Google Ads",Unnamed record,"24/11/17 - Casaviva / Debriefing Incontro Cliente,25/02/27 - Casaviva / Debriefing Incontro Cliente",01716980931,01716980931,,https://www.dropbox.com/scl/fo/4gfrkr5wravhu57ouoaq3/AN9J4DdxPJaX9K8qKbSKOxE?rlkey=nalzfnjuqnzzc87ank21syzmt&dl=0,recvtjC6GPjqxlRkZ
Ceis,CEIS -CENTRO DI SOLIDARIETA' DI GENOVA - SOCIETA' COOPERATIVA SOCIALE,02329000109,02329000109,VIA ALL'ASILO DAVIDE E DELFINA GARBARINO 6/B,GENOVA,16126,GE,"VIA ALL'ASILO DAVIDE E DELFINA GARBARINO 6/B, 16126 GENOVA (GE)",SUBM70N,Alessandro Censi Buffarini,,Alessandro Censi Buffarini,,,0,"€0,00",,,,,,,,,,,,,,02329000109,02329000109,,https://www.dropbox.com/scl/fo/9bheqlprlsq3col7ub08r/AMY9xc2nKQsVzsdbY4aqsUA?rlkey=pfqs2onblio0egc4649lxoyq3&dl=0,recEycuXGk4vyTexd
Celivo,CELIVO CENTRO SERVIZI AL VOLONTARIATO,,95039260104,VIA DI SOTTORIPA 1,GENOVA,16124,GE,"VIA DI SOTTORIPA 1, 16124 GENOVA (GE)",UE2LXTM,,,,CELIVO@CELIVO.IT,24-0038,1,"€230,00",,,,,,,,,,,,,,95039260104,95039260104,,,reclzJbMPujiqIA6M
Chiappe Revello ,Chiappe Revello ,02634530105,, VIA DOMENICO FIASELLA 1/13,Genova,16121,GE," VIA DOMENICO FIASELLA 1/13, 16121 Genova (GE)",,Elena  Baccini ,cra@pec.chiapperevello.it,Elena  Baccini ,e.baccini@chiapperevello.it,24-0026,1,"€3000,00",,,,,,,,,,,,,,02634530105,02634530105,,,recnhWYqOWfta6Sr7
CNR IMATI,CNR-IMATI, 02118311006,80054330586,"Via Ferrata, 5/A",Pavia,27100,PV,"Via Ferrata, 5/A, 27100 Pavia (PV)",,Franca Giannini,imati@pec.cnr.it,Franca Giannini,segreteria@imati.cnr.it,25-0008,1,"€2750,00",25-12,,,,,,Saldo 25-0008 CNR IMATI,"Appuntamento 1 Attività 1,Appuntamento 2 Attività 2,Appuntamento 1 Attività 2",,+39 0382 548211,"Attività 4,Attività 3,Attività 2,Attività 1",,, 02118311006, 02118311006,,https://www.dropbox.com/scl/fo/w7x7ghg58zs406nfr8ofj/AKGf_GFORyNQeoYu2MccqeY?rlkey=lbjsw622h00lvr79je6minykx&dl=0,recHUcg3am7On6ly4
Cofoundry,ERIN - NOVATION SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,10082410969,,VIA GENERALE THAON DI REVEL 21,MILANO,20159,MI,"VIA GENERALE THAON DI REVEL 21, 20159 MILANO (MI)",M5UXCR1,"Erica Turchetti,Giulia Leoni",,"Erica Turchetti, Giulia Leoni",amministrazione@erin-novation.it,,0,"€0,00",,,,,,,,,,,,,,10082410969,10082410969,,https://www.dropbox.com/scl/fo/pxkct7eq3fk6plroippb0/AFBCZc7rHzJfI30os1CtqfA?rlkey=on4beruv9zxt2vs2ldfz744pj&dl=0,recGMwanqsRI1Yv7T
Columbia Group SRL ,Columbia Group SRL ,01320930991,,Viale Brigate Partigiane 10/4 ,Genova,16129 ,GE,"Viale Brigate Partigiane 10/4 , 16129  Genova (GE)",,Cristina Carnevali ,,Cristina Carnevali ,Cristina.Carnevali@unige.it,24-0019,1,"€4000,00",,,,,,,,,,,,,,01320930991,01320930991,,,recbIY1lA8TyT2UHV
Comitato elettorale Andrea Orlando ,Andrea Orlando ,,,,,,,",   ()",,Vittoria  Canessa,,Vittoria  Canessa,,24-0043,1,"€6500,00",,,,,,,,,,,,,,,,,,recMELVJcFfCmjM01
Communication Agency,COMMUNICATION AGENCY INT. SRL,13057080155,,VIA SAN SIMPLICIANO 4,MILANO,20121,MI,"VIA SAN SIMPLICIANO 4, 20121 MILANO (MI)",SUBM70N,,communicationagency@pec.it,,,,0,"€0,00",,,,,,,,,,,,,,13057080155,13057080155,,,recORaESLwjbD0dp4
Confindustria Genova,CONFINDUSTRIA GENOVA,,80030250106,VIA SAN VINCENZO 2,GENOVA,16121,GE,"VIA SAN VINCENZO 2, 16121 GENOVA (GE)",RR66BDG,"Piera Ponta,Giuliana De Lucchi,Matilde Orlando",fatture@pec.confindustria.ge.it,"Piera Ponta, Giuliana De Lucchi, Matilde Orlando",,"24-0010,25-0020,25-0025",3,"€3550,00","24-6,25-26",,,,,,"Saldo 24-0010 Confindustria Genova,Saldo 25-0020 Confindustria Genova",,,,,,,80030250106,80030250106,,https://www.dropbox.com/scl/fo/ob58e7hdm64af1ydbclny/AG3Wxjd5_L5zKVNRgHoYOjw?rlkey=mdfb797hcpu9wkcvdynv1lyg2&dl=0,reciIhz90sKiXpR2L
Consorzio Nazionale Acciaio,CONSORZIO NAZIONALE ACCIAIO,12286130153,,VIA G.B. PIRELLI 27,MILANO,20124,MI,"VIA G.B. PIRELLI 27, 20124 MILANO (MI)",PR4AG6C,,,,,,0,"€0,00",,,,,,,,,,,,,,12286130153,12286130153,,,recXFfzST7F08gKRE
Costa Edutaitment,,,,,Genova,,,",  Genova ()",,,,,,,0,"€0,00",,,,checked,A&B Grafica,,,,,,,,,,,,,reciQkdiojTBpvhpP
DIHL,DIHL - DIGITAL INNOVATION HUB LIGURIA,,95199790106,VIA SAN VINCENZO 2,GENOVA,16121,GE,"VIA SAN VINCENZO 2, 16121 GENOVA (GE)",SUBM70N,Lorenzo Costa,,Lorenzo Costa,segreteria@dihliguria.it,,0,"€0,00",,,,,,,,,,,,,,95199790106,95199790106,,https://www.dropbox.com/scl/fo/6czp3z1ip5psjh22rfbwp/ACtc27jDFTXKRA0T8-iBW_M?rlkey=ah18sagwlet8emdmtw5ss1gg2&dl=0,reczKy5jCpPnB6EzT
Dimhora,,,,,Arenzano,,,",  Arenzano ()",,,,,,,0,"€0,00",,,,checked,BlueLime adv,,,,,,,,,,,,,recBDaKoYpf01I6oL
Ecosteer S.r.l.,Ecosteer,,,,,,,",   ()",,Elena  Pasquali ,,Elena  Pasquali ,,24-0021,1,"€0,00",,,,,,,,,,,,,,,,,,recMZfZZo4uw0cjaj
Edilporta,EDIL PORTA SRL,02819820990,,VIALE BRIGATA BISAGNO 10,GENOVA,16129,GE,"VIALE BRIGATA BISAGNO 10, 16129 GENOVA (GE)",M5UXCR1,Diamila Musso,,Diamila Musso,INFO@EDILPORTA.NET,24-0042,1,"€850,00",24-18,,"Scadenza edilporta.net,Scadenza Manutenzione Sito Edilporta",,,,"Saldo 24-0042 Edilporta,Saldo 24-0042 SARA",,,,,,,02819820990,02819820990,,https://www.dropbox.com/scl/fo/r5gcctmaraozf7y2qumx5/AMs3jvIxzQ_tjCt030nw9tE?rlkey=lzmvdk0w514x1fhhh8jmoha33&dl=0,recCzwrM3rTbAxXoT
Enel,,,,,,,,",   ()",,,,,,,0,"€0,00",,,,checked,A&B Grafica,,,,,,,,,,,,,recFkU0rYrJrzYx8F
Erre Studi,ERRE STUDI S.R.L.,02386330993,,VIA GIUSEPPE GARIBALDI 3/4/C,GENOVA,16124,GE,"VIA GIUSEPPE GARIBALDI 3/4/C, 16124 GENOVA (GE)",BA6ET11,,,,rferraro@mandragola.org,,0,"€0,00",,,,,,,,,,,,,,02386330993,02386330993,,,recKmz0ZGsDxFtni4
F.lli Razeto e Casareto,F.LLI RAZETO E CASARETO,00250000106,,VIA CAORSI 38,SORI,16031,GE,"VIA CAORSI 38, 16031 SORI (GE)",02LKXL8,Giangi Razeto,,Giangi Razeto,,,0,"€0,00",,,,,,,,,,,,,,00250000106,00250000106,,,reca047U3N42A6h3T
Fabio Gilardi Sindaco ,Fabio Gilardi Sindaco ,,GLRFBA78S20I480B,,Vado Ligure,17047,SV,", 17047 Vado Ligure (SV)",,Fabio  Gilardi ,,Fabio  Gilardi ,Gilardif@gmail.com ,24-0009,1,"€2050,00",24-12,,,,,,,,,,,,,GLRFBA78S20I480B,GLRFBA78S20I480B,,,recjgys9GFQDiNpyT
Fanimar,FA.NI.MAR.,,95043570100,VIA MILANO 40 C/3 SC.DX,GENOVA,16126,GE,"VIA MILANO 40 C/3 SC.DX, 16126 GENOVA (GE)",,Gabriella Caorsi,,Gabriella Caorsi,info@fanimar.it,"24-0002,24-0013,24-0017,25-0007",4,"€7570,00","24-1,24-5,25-6",,Scadenza Manutenzione Sito Fanimar,,,,"Saldo 24-0002 Fanimar,Saldo 24-0013 Fanimar,Saldo 25-0007 Fanimar,Saldo 25-0007 SARA",,,+390102518524,,,,95043570100,95043570100,,,recPCWg9q1v4wsxTR
FIT Liguria - Fed Ita Tennis,,,,,Genova,,,",  Genova ()",,,,,,,0,"€0,00",,,,checked,A&B Grafica,,,,,,,,,,,,,recsFjGYFRsAgbVBm
FIV - Fed Ita Vela,,,,,Genova,,,",  Genova ()",,,,,,,0,"€0,00",,,,checked,A&B Grafica,,,,,,,,,,,,,recL40Ua4tOiUYIK0
Fos,FOS S.P.A.,12851070156,12851070156,VIA PORLEZZA 16,MILANO,20121,MI,"VIA PORLEZZA 16, 20121 MILANO (MI)",EH1R83N,Ilaria Leopoldo,fos_srl@legalmail.it,Ilaria Leopoldo,DIREZIONE@FOS.IT,,0,"€0,00",,,,,,,,,,,,,,12851070156,12851070156,,https://www.dropbox.com/scl/fo/08nykbwsf6mzc2h9ybl8f/ADR6-RC2rfiOdTDz5XSieSs?rlkey=jtlyx6rxobpyj1182cxqqqnon&dl=0,recfDThQLjLUtSS0b
Generali,,,,,,,,",   ()",,,,,,,0,"€0,00",,,,checked,A&B Grafica,,,,,,,,,,,,,recZRBlLSryeRdhk2
GFCL,FONDAZIONE FILM COMMISSION GENOVA LIGURIA,01884290998,95107460107,VIA LUDOVICO ANTONIO MURATORI 9,GENOVA,16152,GE,"VIA LUDOVICO ANTONIO MURATORI 9, 16152 GENOVA (GE)",KRRH689,Claudia Oliva,GENOVALIGURIAFC@PEC.IT,Claudia Oliva,INFO@GLFC.IT,,0,"€0,00",,,,,,,,,,,,,,01884290998,01884290998,,,rec7vR83NoYgvY82u
GLEEYE,Gleeye Srl,02944020995,,Piazza Brignole 2/3,Genova,161222,Ge,"Piazza Brignole 2/3, 161222 Genova (Ge)",5645tew,,gleeye@lamiapec.it,,info@gleeye.eu,"25-0010,25-0022",2,"€2200,00",,,,,,,,,,+39010453421,,,,02944020995,02944020995,,,recuGzq1iqfn2c09z
Grimaldi Holding,,,,,Genova,,,",  Genova ()",,,,,,,0,"€0,00",,,,checked,A&B Grafica,,,,,,,,,,,,,recgt97cuyrE7NFQS
Gruppo Consiliare PD Regione Liguria ,"Gruppo Consiliare Partito Democratico
Articolo Uno Regione Liguria",95220660104,95220660104,Via Fieschi 15,Genova,16121,,"Via Fieschi 15, 16121 Genova ()",,Lara  Pizzorno,,Lara  Pizzorno,Lara.Pizzorno@regione.liguria.it,24-0015,1,"€9500,00","24-4,24-10",,Scadenza dominio PD Liguria,,,,"Anticipo 24-0015 Gruppo Consiliare PD Regione Liguria ,Saldo 24-0015 Gruppo Consiliare PD Regione Liguria ",,,,,,,95220660104,95220660104,,,recsdhYWqAxh4np5e
Gruppo Frama,FRAMA SOCIETA' IN NOME COLLETTIVO DI ANTONIO FRATEA & C.,03792330106,03792330106,MOLO PONTE MOROSINI 19/20,GENOVA,16126,GE,"MOLO PONTE MOROSINI 19/20, 16126 GENOVA (GE)",BA6ET11,Francesca Fratea,,Francesca Fratea,info@gruppoframa.it,24-0030,1,"€450,00",,,"Problema tasto PRENOTA,Aggiornare Foto e pagina Ristorante,Organizzare Riunione Gennaio,Creazione Campagna,Selezionare Visual reels + foto,Ottimizzazione pagina Linkedin,Creazione Campagna Ads,Fissare uscita,Decidere contenuti,Scadenza Email e dominio gruppoframa.it,Scadenza Dominio datoto.it,Scadenza dominio hosting e mail locandadatoto.it,Scadenza dominio locandadatoto.com,Scadenza Manutenzione Sito Locanda da Toto",,,,,Incontro Locanda,,,"Socialia ,Modifiche Sito,Campagna Ads Natale,Campagna Ads Camere,Uscita per nuovi Contenuti",,24/11/16 - Gruppo Frama / Debriefing Incontro Cliente,03792330106,03792330106,,,recw5mJjix1dkPjb5
Gulliver,ALFI  S.R.L.,00886480060,00587870122,VIA VOGHERA 59,CASALNOCETO,15052,AL,"VIA VOGHERA 59, 15052 CASALNOCETO (AL)",X46AXNR,Jennifer Rubino,,Jennifer Rubino,SEGRETERIA@SUPERGULLIVER.IT,,0,"€0,00",,,,,,,,,,,,,,00886480060,00886480060,,https://www.dropbox.com/scl/fo/sg67870wyop7i5y9463dw/AKpw2FfFDSuLsonX4tCgW7k?rlkey=pmdj8dnm5twwna4j2zp0xfjdd&dl=0,recLVIpFVwYAkC9Se
Hotel Savoia,HOTEL SAVOIA GENOVA S.R.L.,12776020153,12776020153,VIA ALL'ARSENALE DI TERRA 5,GENOVA,16126,GE,"VIA ALL'ARSENALE DI TERRA 5, 16126 GENOVA (GE)",M5ITOJA,"Gabriele Fortunato,Silvia Patrone,Gloria De Palo",,"Gabriele Fortunato, Silvia Patrone, Gloria De Palo",,,0,"€0,00",,,,,,,,,,,,,,12776020153,12776020153,,,recTdP9HYoif1a3FR
IIT - Istituto Italiano di Tecnologia,FONDAZIONE ISTITUTO ITALIANO DI TECNOLOGIA-IIT,09198791007,97329350587,VIA MOREGO 30,GENOVA,16163,GE,"VIA MOREGO 30, 16163 GENOVA (GE)",UFU7Q0,"Sabrina Peloso,Stefano Maludrottu",fatture@pec.iit.it,"Sabrina Peloso, Stefano Maludrottu",,24-0005,1,"€15000,00",,,,,,,,,,,,,,09198791007,09198791007,,https://www.dropbox.com/scl/fo/0l6tsod1esmoeajr98hny/AM8EFT7yGD9hCKRSFaLwc-s?rlkey=nqlvevt9kiwpy39yplnz8uzjf&dl=0,recJJXhRpTo6aHd83
Laghezza Spa,,,,,La Spezia,,,",  La Spezia ()",,,,,,,0,"€0,00",,,,checked,BlueLime adv,,,,,,,,,,,,,rec7IzJaSLtSsYnra
LNI - Genova Sestri Ponente,,,,,Genova,,,",  Genova ()",,,,,,,0,"€0,00",,,,checked,A&B Grafica,,,,,,,,,,,,,recey0pVo2I8Gh1Ub
Molo 8.44,,,,,Savona,,,",  Savona ()",,,,,,,0,"€0,00",,,,checked,A&B Grafica,,,,,,,,,,,,,recCPwDCVNrmxjNRH
Mondadori,,,,,,,,",   ()",,,,,,,0,"€0,00",,,,checked,BlueLime adv,,,,,,,,,,,,,reci9KnekpRFU9Gjr
Ordine Ingegneri Genova ,Ordine degli Ingegneri di Genova,,80039470101,Piazza della Vittoria 11/10 ,Genova, 16121 ,Ge,"Piazza della Vittoria 11/10 ,  16121  Genova (Ge)",,Georgia  Cesarone,ordine.genova@ingpec.eu,Georgia  Cesarone,ordine@ordineingegneri.genova.it,"24-0008,24-0039",2,"€33450,00","24-9,24-14,25-1,25-3,25-13,25-22,25-28",,,,,,"Anticipo 24-0008 Ordine Ingegneri Genova ,Rata 1 24-0008 Ordine Ingegneri Genova ,Rata 2 24-0008 Ordine Ingegneri Genova ,Rata 3 24-0008 Ordine Ingegneri Genova ,Rata 4 24-0008 Ordine Ingegneri Genova ,Rata 5 24-0008 Ordine Ingegneri Genova ,Rata 6 24-0008 Ordine Ingegneri Genova ,Rata 7 24-0008 Ordine Ingegneri Genova ,Rata 8 24-0008 Ordine Ingegneri Genova ","Appuntamento con Mara,Appuntamento con Consiglio,Cerimonia Grandi Senatori,Riunione IOGE con Presidente Sterpi,Call Mara",,,"Impostare newsletter,POST LINKEDIN ",,24/12/17 - Ordine Ingegneri Genova  / Debriefing Incontro Gleeye,80039470101,80039470101,,https://www.dropbox.com/scl/fo/af5kfm82pczq6s2vsjgn0/ACIwVymW7FfHQDHIeNJZO7Y?rlkey=1v2gp4zaup9vpdjg46cdtnoa7&dl=0,recJhK0VOw6BqunS0
Ortopedia Strighini,STRINGHINI S.N.C. DI DANILO E ALESSIO STRINGHINI,02306400991,02306400991,VIA ALESSANDRO VOLTA 53,GENOVA,16128,GE,"VIA ALESSANDRO VOLTA 53, 16128 GENOVA (GE)",USAL8PV,,info@stringhini.org,,info@stringhini.org,,0,"€0,00",,,,,,,,,,,,,,02306400991,02306400991,,,reclX9zLoi3A7Vk3z
Partito Democratico di Genova e della Liguria ,PD Genova e Liguria ,,,,Genova ,,Ge ,",  Genova  (Ge )",,Andrea  Casassa ,,Andrea  Casassa ,,"24-0004,24-0006",2,"€15000,00",24-11,,,,,,Saldo 24-0004 Partito Democratico di Genova e della Liguria ,,,,,,,,,,,recCk2f3BlOEg7SXp
Pittaluga,PITTALUGA S.A.S. DI NICOLÒ COGORNO & C.,02261010108,02261010108,PIAZZA DEL MONASTERO 10,GENOVA,16149,GE,"PIAZZA DEL MONASTERO 10, 16149 GENOVA (GE)",SUBM70N,Nicolò Cogorno,,Nicolò Cogorno,info@tendetessutigenova.it,,0,"€0,00",,,,,,,,,,,,,,02261010108,02261010108,,,recSU97NWBfvqXp89
PRESSCOMM TECH,PRESSCOMM TECH SRL,01602980086,,VIA MATTEOTTI 12,SANREMO,18038,IM,"VIA MATTEOTTI 12, 18038 SANREMO (IM)",,Nicola Reineri,,Nicola Reineri,,"24-0012,25-0015,25-0016,25-0023",4,"€4850,00","24-2,25-23",,,,,,"Saldo 24-0012 PRESSCOMM TECH,Saldo 24-0012 SPINE,Saldo 25-0015 PRESSCOMM TECH,Saldo 25-0016 MATTIA,Saldo 25-0016 WILLY,Saldo 25-0016 PRESSCOMM TECH",,,,,,,01602980086,01602980086,,,recd7iFpId4y2PHqL
Prova,,32425324,,,,,,",   ()",,,,,,,0,"€0,00",,,,,,,,,,,,,,32425324,32425324,,,rec677dymcJrLlZuw
Renael,RENAEL - RETE NAZIONALE DELLE AGENZIE ENERGETICHE LOCALI,06770331004,97185150584,VIA TOLEDO 317,NAPOLI,80134,NA,"VIA TOLEDO 317, 80134 NAPOLI (NA)",USAL8PV,Alessio Pecoraro,INFO@RENAEL.NET,Alessio Pecoraro,INFO@RENAEL.NET,,0,"€0,00",,,,,,,,,,,,,,06770331004,06770331004,,,recvYdrDmWdFNuQab
Roberto Arboscello - Vicepresidente Consiglio Regionale della Liguria ,Roberto Arboscello - Vicepresidente Consiglio Regionale della Liguria ,,,,,,,",   ()",,,,,,25-0001,1,"€1755,00",,,,,,,,,,,,,,,,,,rec43DV5F6ZXBDIII
SEC AND PARTNERS,SEC AND PARTNERS S.R.L,12971121004,,VIA GIUSEPPE GIOACCHINO BELLI 39,ROMA,00193,RM,"VIA GIUSEPPE GIOACCHINO BELLI 39, 00193 ROMA (RM)",,Licia Mazzoni,cambreitaliasrl@pec.it,Licia Mazzoni,,25-0009,1,"€500,00",,,,,,,,,,+39026249991,,,,12971121004,12971121004,,,reciAEsUzhvT99ABm
Serteco Volley School Genova ,SERTECO VOLLEY,02044460992,,Via Digione 48r,Genova,,Ge,"Via Digione 48r,  Genova (Ge)",,Andrea  Casassa ,sertecovolleyschoolsrl@pec.it,Andrea  Casassa ,,24-0014,1,"€8000,00",,,,,,,,,,,,,,02044460992,02044460992,,,recOeoyX7iJHW2HUq
